号数,作品名,クエリ,参照,1時間,全体,終了,トレンド含む
3,さむわんへるつ,(さむわんへるつ #さむわんへるつ),2.75,220,318,2025-12-15 03:00:00,False
3,しのびごと,(#しのびごと しのびごと),0.5,53,90,2025-12-15 02:45:00,False
3,ひまてん,(#ひまてん ひまてん),1.0,91,154,2025-12-15 02:45:00,False
3,アオのハコ,(#アオのハコ #今週の雛 #今週の千夏 アオのハコ アオハコ),4.75,66,88,2025-12-15 01:30:00,False
3,ウィッチウォッチ,(#ウィッチウォッチ ウィッチウォッチ),1.75,48,63,2025-12-15 01:30:00,False
3,カグラバチ,(#カグラバチ カグラバチ #カグラバチ本誌),5.0,750,1004,2025-12-15 03:45:00,False
3,キヨシくん,(#悪祓士のキヨシくん 悪祓士のキヨシくん 悪祓士 キヨシくん エクソシストのキヨシくん),0.25,28,55,2025-12-15 02:15:00,False
3,ゴンロン・エッグ,(ゴンロン・エッグ #ゴンロンエッグ ゴンロンエッグ ゴンロン),0.25,39,88,2025-12-15 03:30:00,False
3,サカモトデイズ,(#サカモトデイズ #サカデイ サカモトデイズ サカデイ サカモト),10.75,222,292,2025-12-15 02:00:00,False
3,ハルカゼマウンド,(ハルカゼマウンド #ハルカゼマウンド ハルカゼ),0.0,29,46,2025-12-15 02:00:00,False
3,モジュロ,(モジュロ #モジュロ 呪術廻戦 #呪術廻戦 呪術 呪術本誌 #呪術本誌),77.0,1835,2702,2025-12-15 02:30:00,False
3,モジュロ,(モジュロ #モジュロ 呪術廻戦 #呪術廻戦 呪術 呪術本誌 #呪術本誌 まこーら),77.25,2666,4033,2025-12-15 03:00:00,True
3,僕とロボコ,(#僕とロボコ 僕とロボコ ロボコ),0.5,19,43,2025-12-15 02:45:00,False
3,灯火のオテル,(灯火のオテル #灯火のオテル オテル),0.25,58,115,2025-12-15 04:15:00,False
3,逃げ若,(#逃げ若 #逃げ上手の若君 逃げ若 逃げ上手の若君),4.25,31,40,2025-12-15 01:15:00,False
3,隣の小副川,(隣の小副川 #隣の小副川 小副川),0.0,20,41,2025-12-15 02:45:00,False
3,魔男のイチ,(#魔男のイチ 魔男のイチ 魔男),1.75,140,182,2025-12-15 02:45:00,False
3,鵺の陰陽師,(#鵺の陰陽師 鵺の陰陽師 鵺),5.0,351,547,2025-12-15 02:45:00,False
4,JK勇者と隠居魔王,(JK勇者と隠居魔王 #JK勇者と隠居魔王 JK勇者 隠居魔王),0.25,23,39,2025-12-22 01:45:00,False
4,ONE PIECE,#今週のワンピ,3.75,457,606,2025-12-22 03:00:00,False
4,あかね噺,(#あかね噺 あかね噺),14.25,62,62,2025-12-22 01:00:00,False
4,さむわんへるつ,(さむわんへるつ #さむわんへるつ),3.75,294,397,2025-12-22 02:45:00,False
4,しのびごと,(#しのびごと しのびごと),2.0,171,262,2025-12-22 02:00:00,False
4,ひまてん,(#ひまてん ひまてん),1.25,76,106,2025-12-22 02:00:00,False
