タイムスタンプ,性別,年齢,ONE PIECE [圧],ONE PIECE [情],ONE PIECE [脱],ONE PIECE [色],ONE PIECE [知],ONE PIECE [拍],ヒロアカ [圧],ヒロアカ [情],ヒロアカ [脱],ヒロアカ [色],ヒロアカ [知],ヒロアカ [拍],ブラクロ [圧],ブラクロ [情],ブラクロ [脱],ブラクロ [色],ブラクロ [知],ブラクロ [拍],呪術廻戦 [圧],呪術廻戦 [情],呪術廻戦 [脱],呪術廻戦 [色],呪術廻戦 [知],呪術廻戦 [拍],夜桜さんちの大作戦 [圧],夜桜さんちの大作戦 [情],夜桜さんちの大作戦 [脱],夜桜さんちの大作戦 [色],夜桜さんちの大作戦 [知],夜桜さんちの大作戦 [拍],アンデラ [圧],アンデラ [情],アンデラ [脱],アンデラ [色],アンデラ [知],アンデラ [拍],マッシュル [圧],マッシュル [情],マッシュル [脱],マッシュル [色],マッシュル [知],マッシュル [拍],僕とロボコ [圧],僕とロボコ [情],僕とロボコ [脱],僕とロボコ [色],僕とロボコ [知],僕とロボコ [拍],サカモトデイズ [圧],サカモトデイズ [情],サカモトデイズ [脱],サカモトデイズ [色],サカモトデイズ [知],サカモトデイズ [拍],逃げ若 [圧],逃げ若 [情],逃げ若 [脱],逃げ若 [色],逃げ若 [知],逃げ若 [拍],ウィッチウォッチ [圧],ウィッチウォッチ [情],ウィッチウォッチ [脱],ウィッチウォッチ [色],ウィッチウォッチ [知],ウィッチウォッチ [拍],アオのハコ [圧],アオのハコ [情],アオのハコ [脱],アオのハコ [色],アオのハコ [知],アオのハコ [拍],あかね噺 [圧],あかね噺 [情],あかね噺 [脱],あかね噺 [色],あかね噺 [知],あかね噺 [拍],一ノ瀬家の大罪 [圧],一ノ瀬家の大罪 [情],一ノ瀬家の大罪 [脱],一ノ瀬家の大罪 [色],一ノ瀬家の大罪 [知],一ノ瀬家の大罪 [拍],暗号学園のいろは [圧],暗号学園のいろは [情],暗号学園のいろは [脱],暗号学園のいろは [色],暗号学園のいろは [知],暗号学園のいろは [拍],人造人間100 [圧],人造人間100 [情],人造人間100 [脱],人造人間100 [色],人造人間100 [知],人造人間100 [拍]
2023/04/22 3:56:32 午後 GMT+9,男性,22,4,5,2,1,2,4,4,4,3,4,2,3,5,3,2,1,1,4,4,4,2,1,4,4,3,3,4,1,1,2,5,3,2,1,3,5,5,2,5,1,1,4,5,4,5,2,1,5,5,2,4,2,1,5,4,3,2,4,5,4,4,4,4,2,4,5,2,4,3,4,1,3,4,4,3,2,5,4,5,4,3,1,4,4,4,4,2,4,5,4,3,3,3,1,2,3
2023/04/22 4:20:03 午後 GMT+9,女性,33,5,5,1,4,1,4,4,5,1,5,4,1,4,3,1,1,1,4,4,1,2,1,4,3,1,5,4,2,1,3,5,5,3,3,5,5,5,1,5,1,1,5,2,3,5,1,3,5,5,2,3,1,1,5,3,4,2,4,5,4,1,2,5,1,2,5,1,5,2,1,1,3,3,3,3,1,5,3,5,4,1,1,1,5,2,1,1,1,5,4,3,3,1,3,2,3
2023/04/22 4:24:37 午後 GMT+9,男性,21,5,4,3,3,2,3,5,5,3,3,2,3,5,4,3,3,2,3,4,4,4,2,3,4,4,4,4,3,2,3,5,5,4,3,4,5,5,3,5,1,2,3,4,2,4,1,3,4,5,3,4,1,2,3,3,5,4,3,5,5,3,4,5,3,4,4,2,5,3,4,3,2,4,5,3,2,5,5,3,4,2,1,4,4,4,5,4,3,4,4,4,4,3,2,3,3
2023/04/22 4:24:54 午後 GMT+9,女性,33,5,5,2,4,3,4,4,4,1,4,5,3,4,4,1,1,1,3,4,2,2,1,5,3,3,4,3,2,1,3,5,3,1,1,5,5,5,1,5,1,1,5,3,3,5,1,4,5,5,2,2,1,3,5,3,3,3,3,5,5,2,2,5,1,1,5,2,5,1,1,1,3,4,4,3,1,5,4,5,5,1,1,1,5,2,1,1,1,5,4,3,3,1,2,1,3
2023/04/22 4:26:45 午後 GMT+9,男性,33,5,5,3,3,5,3,4,4,3,4,2,3,5,3,2,4,3,2,4,3,2,2,3,4,3,2,3,2,2,2,4,3,3,1,3,5,3,3,4,2,2,2,5,4,4,1,4,4,5,3,4,4,2,4,5,4,4,2,5,4,3,3,5,4,5,5,3,5,2,3,1,4,3,4,3,4,5,3,4,2,2,2,2,2,3,4,4,2,5,4,3,2,2,2,3,2
2023/04/22 4:35:33 午後 GMT+9,男性,23,5,5,4,5,3,4,5,5,4,5,4,4,5,4,5,5,4,4,5,4,5,2,3,5,4,4,5,5,3,3,5,5,4,4,5,4,5,3,4,2,3,3,5,3,5,2,3,5,5,1,4,1,3,4,5,5,5,4,5,4,4,3,5,3,3,4,3,5,4,2,3,3,5,4,3,4,3,3,5,3,4,2,3,2,5,3,4,3,3,3,4,4,3,3,2,3
2023/04/22 4:35:43 午後 GMT+9,男性,36,5,5,3,1,4,1,5,5,1,1,1,1,5,2,1,1,1,3,5,1,5,1,5,1,3,5,5,1,2,3,2,5,1,1,1,3,5,1,5,1,1,5,5,1,5,1,1,5,5,1,5,1,1,5,3,5,5,1,5,5,5,5,5,1,5,1,1,5,1,5,1,2,5,5,5,3,5,5,3,3,3,3,3,3,4,3,4,3,5,5,2,4,1,1,1,4
2023/04/22 4:36:11 午後 GMT+9,女性,19,1,1,2,3,2,2,1,1,3,3,3,2,1,2,3,4,4,2,2,2,3,2,1,1,2,2,3,2,1,2,1,2,3,3,2,3,1,3,2,3,3,2,1,2,3,2,5,1,1,2,2,4,3,1,2,1,2,1,1,1,2,1,1,2,2,1,2,1,2,1,4,2,1,1,2,4,1,1,4,1,4,4,2,2,1,1,4,2,1,2,1,2,4,4,2,4
2023/04/22 4:38:42 午後 GMT+9,男性,20,5,4,2,2,2,3,5,4,3,4,3,3,5,2,3,2,2,5,4,5,3,3,4,4,3,4,5,4,3,4,4,5,3,3,3,5,5,2,5,1,1,4,3,3,5,1,2,4,5,4,4,5,2,5,5,4,2,2,5,4,3,3,5,3,2,5,2,4,4,4,2,3,2,1,3,1,2,1,5,5,1,1,2,5,5,3,3,3,5,5,4,5,3,3,2,5
2023/04/22 4:40:23 午後 GMT+9,男性,19,5,5,3,3,4,2,4,5,3,5,2,2,3,3,3,3,3,3,5,5,3,1,2,5,3,3,3,4,3,3,4,4,2,3,3,4,4,3,1,1,1,4,4,3,5,1,1,4,5,3,2,1,1,5,3,4,4,1,4,3,3,3,4,4,2,4,3,4,3,2,2,2,3,3,3,1,2,4,3,3,3,1,4,3,4,3,3,2,4,4,4,4,2,1,4,5
2023/04/22 4:40:54 午後 GMT+9,男性,29,5,4,4,4,2,4,4,4,3,4,3,3,5,4,3,3,2,4,5,4,4,2,2,2,4,5,4,3,4,2,4,3,3,2,4,5,4,3,5,1,1,3,5,4,5,2,1,4,5,1,2,1,1,4,4,4,4,3,5,4,3,3,4,3,1,3,3,4,3,3,1,2,3,3,3,4,4,3,2,2,1,4,2,2,5,4,4,4,4,2,3,3,3,3,3,2
2023/04/22 4:41:26 午後 GMT+9,男性,26,5,3,4,3,2,4,5,4,3,4,2,2,5,3,3,3,1,3,5,4,3,2,2,3,3,4,4,3,2,3,4,4,3,2,2,5,4,3,5,2,1,3,4,3,4,1,2,5,5,3,3,4,2,5,3,4,4,3,5,4,3,4,4,4,3,4,3,4,3,5,1,2,4,4,4,4,4,4,3,4,4,1,1,2,4,4,3,4,4,3,4,5,3,4,3,3
2023/04/22 4:42:03 午後 GMT+9,男性,23,5,5,3,3,5,3,5,5,3,4,3,3,5,5,4,4,2,3,5,5,4,2,3,4,3,3,4,2,1,2,4,5,3,2,4,3,4,2,4,2,2,2,3,3,4,1,3,3,5,4,4,3,1,5,4,5,3,4,5,3,3,3,4,2,2,4,2,3,2,2,2,2,3,4,4,3,4,3,3,3,2,2,3,3,4,4,4,3,4,5,4,4,3,2,2,3
2023/04/22 4:42:27 午後 GMT+9,男性,22,5,3,2,4,3,1,5,5,2,4,4,2,5,3,1,3,1,3,3,4,1,1,1,4,2,3,4,2,1,4,4,4,2,1,3,5,3,3,5,1,1,2,5,2,5,1,3,5,5,2,1,3,1,5,2,4,3,4,5,5,2,4,4,5,3,4,2,4,3,3,3,3,4,4,1,2,2,5,1,4,1,1,1,2,4,3,3,3,4,4,3,4,2,1,2,5
2023/04/22 4:43:25 午後 GMT+9,女性,30,4,4,2,3,4,2,4,4,1,3,1,2,3,1,3,2,1,2,4,4,3,1,4,4,1,2,1,3,2,1,4,3,2,2,3,4,2,3,4,2,1,1,3,2,4,1,4,4,4,1,1,3,1,4,4,3,1,1,4,3,1,2,2,3,2,2,1,4,1,2,1,2,4,3,1,4,4,3,1,3,3,1,1,1,3,1,1,4,4,3,2,2,2,3,1,4
2023/04/22 4:45:59 午後 GMT+9,男性,27,5,5,2,4,4,2,5,4,3,4,2,4,5,3,2,4,4,2,4,4,2,2,3,4,2,2,4,4,2,2,5,5,2,2,4,5,5,1,5,1,1,4,5,4,5,3,4,5,5,2,4,2,2,5,4,4,2,4,5,4,4,3,4,4,3,5,3,5,2,4,2,3,3,4,2,4,5,5,4,4,2,1,4,5,3,3,2,4,5,4,4,4,2,4,2,4
2023/04/22 4:47:13 午後 GMT+9,男性,23,5,5,3,4,2,3,5,4,2,5,1,2,4,3,2,3,1,2,4,3,4,3,3,4,3,3,4,3,4,3,5,5,4,2,3,5,4,2,5,2,3,3,4,2,5,2,4,4,5,3,4,3,4,5,4,4,4,4,5,5,2,3,5,4,4,4,2,4,3,4,3,3,3,3,3,3,5,4,4,2,2,2,2,2,4,3,4,4,5,4,4,3,3,3,2,4
2023/04/22 4:48:49 午後 GMT+9,男性,19,5,4,4,4,4,3,5,5,4,4,2,3,5,4,4,4,2,4,4,5,4,3,3,3,3,4,5,3,4,1,4,5,4,3,5,4,5,4,5,1,1,5,5,2,5,1,1,5,5,4,4,3,4,5,3,4,4,5,5,3,4,3,5,3,3,5,3,5,3,5,3,4,4,4,4,4,4,4,4,5,3,3,4,4,4,4,4,3,5,4,3,4,3,3,3,3
2023/04/22 4:50:35 午後 GMT+9,男性,31,5,5,5,5,5,3,5,5,3,3,5,3,4,4,2,1,2,2,5,5,1,3,4,3,3,3,3,3,3,3,3,2,2,2,2,5,4,1,4,3,1,3,5,5,5,5,1,5,5,2,3,2,3,5,4,4,4,2,5,5,4,5,5,3,3,5,2,5,4,5,3,4,5,5,2,1,5,5,3,4,1,2,3,4,5,5,3,4,5,5,5,5,1,1,2,3
2023/04/22 4:53:44 午後 GMT+9,女性,31,5,4,2,4,3,1,5,5,3,5,2,2,5,3,2,4,4,2,5,5,4,1,4,4,3,3,4,4,2,4,4,4,3,2,3,4,5,2,5,1,3,2,4,3,4,1,4,4,5,3,4,4,3,4,5,4,4,4,5,4,3,4,5,3,4,4,3,4,3,5,2,3,5,4,3,4,5,4,5,5,3,2,2,4,5,3,3,4,5,5,3,5,3,3,3,4
2023/04/22 4:54:23 午後 GMT+9,男性,42,5,5,3,5,4,2,5,4,2,5,2,4,5,2,2,3,2,4,4,2,4,4,4,4,4,3,4,3,2,4,4,3,4,3,4,5,5,3,5,4,3,4,4,3,5,3,2,4,5,3,3,2,2,5,3,4,4,5,5,5,4,2,4,3,2,4,3,5,3,4,2,4,4,5,3,4,5,4,5,2,2,2,2,2,4,3,3,3,4,4,4,4,3,3,2,3
2023/04/22 4:57:48 午後 GMT+9,女性,20,4,2,2,3,3,3,3,3,2,2,1,2,2,3,2,2,2,2,2,3,2,2,3,2,2,3,3,2,2,2,3,2,2,2,2,2,3,2,4,1,1,2,3,3,4,2,1,3,4,2,3,1,1,4,3,4,3,2,4,3,2,3,4,3,2,2,1,4,3,3,1,2,3,4,3,2,4,2,1,2,2,1,2,2,3,2,1,1,3,1,2,2,2,3,2,2
2023/04/22 4:58:40 午後 GMT+9,男性,23,3,3,3,3,3,2,4,4,2,3,2,2,3,2,2,2,2,3,4,4,1,1,3,4,2,2,3,3,2,2,2,2,1,1,3,4,4,1,3,2,1,2,3,2,2,1,2,2,3,1,3,3,2,4,4,1,3,1,4,3,3,2,2,4,3,3,1,2,3,3,1,2,2,3,2,3,3,4,3,2,1,1,2,3,3,1,2,3,4,3,3,3,2,1,2,3
2023/04/22 4:58:53 午後 GMT+9,男性,20,4,5,3,4,4,3,5,4,3,5,3,3,5,4,3,4,3,3,4,5,2,3,3,3,3,3,5,4,3,4,4,5,3,3,4,5,5,3,5,2,3,4,5,2,5,2,4,5,5,3,5,4,3,4,4,4,4,4,5,4,3,4,5,4,3,4,3,4,2,3,3,3,4,4,4,4,5,4,5,5,3,3,4,4,5,4,3,4,5,4,4,4,4,3,4,4
2023/04/22 4:58:58 午後 GMT+9,女性,18,5,5,5,5,5,5,5,4,4,5,4,3,4,2,4,1,1,2,4,2,3,1,2,2,2,1,4,3,1,1,3,2,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,4,4,3,2,3,4,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,2,3,4
2023/04/22 5:00:07 午後 GMT+9,男性,30,5,5,4,4,2,5,5,5,2,5,4,5,5,3,2,5,4,5,4,4,2,2,2,5,3,2,4,3,2,5,4,5,2,3,5,5,4,2,1,1,1,3,5,5,4,1,1,4,5,5,4,2,4,5,5,5,4,3,5,4,2,4,5,3,4,5,1,4,1,3,1,1,5,5,2,5,5,5,2,4,1,1,1,3,5,4,4,4,5,3,2,2,3,4,2,4
2023/04/22 5:01:40 午後 GMT+9,男性,26,5,4,2,4,3,2,5,5,2,5,2,1,4,3,2,3,1,1,5,4,1,1,3,2,2,1,4,4,1,3,4,4,3,1,4,5,4,1,5,3,1,1,3,2,5,1,1,4,5,3,3,5,3,4,3,3,4,4,4,3,3,2,4,3,3,3,2,3,2,3,3,2,3,3,3,2,5,3,4,1,3,2,1,1,3,2,3,2,5,4,1,3,3,2,2,3
2023/04/22 5:04:02 午後 GMT+9,女性,40,5,5,3,4,1,3,5,5,2,4,4,4,4,4,1,5,2,3,5,3,1,2,4,3,3,3,3,2,1,2,4,3,2,1,2,3,4,2,5,1,1,4,5,3,5,1,3,4,5,2,2,4,2,5,4,4,2,5,5,5,2,3,4,3,2,4,1,3,3,3,1,3,4,3,2,3,3,4,1,2,1,1,2,2,2,2,3,3,5,4,5,4,3,2,4,4
2023/04/22 5:05:56 午後 GMT+9,男性,18,5,5,3,2,2,3,5,5,2,4,3,4,5,4,2,3,3,4,5,3,2,2,4,5,4,4,3,4,3,4,4,4,2,1,3,4,5,2,5,3,2,3,3,4,4,2,2,4,5,3,4,5,4,5,4,4,3,3,5,4,4,5,3,4,4,3,3,4,3,4,3,3,4,4,3,4,4,4,4,4,3,3,3,5,4,4,3,5,5,5,4,5,3,2,4,4
2023/04/22 5:07:17 午後 GMT+9,男性,20,5,5,3,5,4,4,5,4,1,5,3,3,5,4,3,4,3,3,5,2,2,2,3,4,5,5,5,5,2,3,5,4,1,2,3,5,5,4,5,1,1,4,5,5,5,4,2,3,5,2,3,3,2,5,5,3,5,5,5,5,3,4,5,5,5,4,1,1,1,1,1,1,5,4,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,4,4,1,3,2,4
2023/04/22 5:07:20 午後 GMT+9,女性,23,5,5,5,5,5,5,5,4,4,4,3,3,3,2,3,1,2,2,4,2,3,1,2,2,2,2,2,2,2,2,3,2,2,2,3,4,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,3,4,4,4,1,3,3,2,2,2,1,2,2,2,2,2,1,2,2,3,2,4,1,2,3,3,1,2,1,1,3,2,1,3,1,4,3,3,4,3,1,2,3
2023/04/22 5:08:31 午後 GMT+9,女性,25,3,4,3,3,2,2,3,4,1,2,2,1,3,2,2,1,1,1,4,2,1,1,2,1,2,2,3,2,2,1,4,3,2,1,2,1,2,1,2,1,1,1,3,2,4,1,1,2,4,2,2,1,1,2,4,4,3,3,4,3,2,2,3,2,1,3,1,2,1,2,1,1,2,2,1,1,3,1,2,2,2,1,1,1,3,1,1,2,4,2,4,1,2,1,2,1
2023/04/22 5:09:11 午後 GMT+9,男性,21,5,5,4,3,5,3,5,5,4,5,4,3,4,4,4,3,2,3,5,3,4,1,3,3,3,3,4,2,2,2,4,4,3,3,5,5,3,3,5,1,1,2,3,4,5,1,3,4,5,3,4,2,3,5,4,4,3,3,5,5,3,4,4,3,3,4,3,4,4,3,2,4,4,3,3,2,4,4,5,2,4,1,2,2,5,3,4,2,5,4,3,4,4,1,3,4
2023/04/22 5:09:17 午後 GMT+9,男性,17,2,5,4,5,1,3,5,4,4,2,1,1,4,4,1,1,1,4,5,5,1,1,5,5,3,3,3,3,3,3,5,3,1,1,4,5,1,1,1,1,1,1,2,2,2,2,2,2,5,2,1,1,1,5,5,5,1,1,4,5,2,4,2,4,3,1,1,5,5,5,1,1,4,5,4,4,4,3,1,1,2,1,3,4,5,4,1,5,5,5,3,4,3,3,4,3
2023/04/22 5:10:50 午後 GMT+9,女性,20,5,5,3,3,3,1,5,1,1,1,1,1,5,3,1,2,3,5,5,4,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,5,1,1,1,5,3,3,4,2,3,5,3,3,4,5,3,1,1,5,3,3,5,1,4,1,5,1,1,4,3,3,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023/04/22 5:13:23 午後 GMT+9,女性,28,5,4,2,3,3,5,5,5,3,3,4,3,5,3,2,4,3,5,4,3,2,1,3,5,3,3,4,4,3,3,5,5,2,3,5,5,5,4,5,1,1,5,3,4,5,1,3,5,5,3,4,1,2,5,5,5,4,4,5,5,3,4,5,4,2,5,1,5,2,5,1,3,5,5,3,4,5,5,5,3,4,2,2,5,5,3,3,5,5,5,4,5,3,2,4,4
2023/04/22 5:14:05 午後 GMT+9,その他,22,5,4,4,4,4,2,5,4,4,4,2,3,4,3,3,3,3,3,5,5,1,1,4,5,3,3,4,4,2,3,5,3,3,1,3,5,5,2,5,2,1,3,4,1,4,1,3,3,5,2,5,3,1,5,5,3,3,1,5,3,4,3,4,5,3,4,3,4,3,4,2,3,3,5,2,4,3,4,4,3,1,1,3,4,4,1,3,4,4,4,4,4,2,2,3,3
2023/04/22 5:14:42 午後 GMT+9,女性,25,5,5,1,5,1,1,5,5,1,5,1,3,5,5,1,4,2,1,1,4,1,1,5,4,2,3,4,2,2,2,4,3,1,1,1,5,5,5,1,1,1,1,5,1,1,1,4,5,5,1,1,5,1,1,4,3,3,4,5,5,4,5,4,4,4,4,1,5,4,1,3,3,5,4,1,2,5,4,1,1,1,1,1,1,5,4,1,1,4,3,3,5,1,1,1,1
2023/04/22 5:20:21 午後 GMT+9,女性,23,4,5,3,2,2,3,5,3,3,4,1,3,4,4,3,3,1,3,5,4,2,2,3,2,3,3,4,2,2,4,4,5,3,2,3,5,5,2,4,2,1,5,3,3,5,1,3,5,5,3,2,3,2,5,4,3,3,3,5,4,2,2,5,3,4,5,3,4,3,5,1,2,4,5,2,2,4,4,5,3,2,2,2,5,4,4,3,4,4,4,4,4,2,2,2,3
2023/04/22 5:20:47 午後 GMT+9,男性,20,5,5,3,5,5,4,4,5,5,5,3,4,3,3,3,3,3,3,5,5,5,3,5,5,3,4,4,1,4,3,5,4,4,2,5,5,3,3,3,3,3,3,3,3,5,1,1,5,5,3,4,3,3,4,4,5,4,5,5,5,3,3,3,3,3,3,2,5,5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,3,3,3,3,3,3
2023/04/22 5:21:09 午後 GMT+9,女性,35,5,4,2,5,3,4,5,5,2,4,3,3,4,5,2,5,3,3,5,5,1,2,4,2,2,3,4,3,2,3,3,3,5,1,4,3,4,3,5,2,1,3,5,4,5,2,2,4,5,3,4,2,3,3,4,5,4,4,5,4,2,3,4,3,2,3,3,4,4,4,3,3,4,5,4,3,5,4,3,2,1,1,3,3,4,3,2,4,5,3,5,3,4,3,4,4
2023/04/22 5:30:41 午後 GMT+9,女性,30,4,5,4,4,2,2,5,4,3,5,2,5,5,3,4,3,2,3,4,5,2,2,4,5,3,1,4,2,3,1,5,4,2,1,5,5,5,2,5,1,1,2,3,4,5,1,1,3,5,2,4,2,2,4,3,4,4,1,5,2,4,3,5,1,2,3,2,3,4,1,1,2,5,4,2,4,2,2,4,4,1,1,1,1,5,2,2,4,5,1,4,3,2,1,1,2
2023/04/22 5:32:22 午後 GMT+9,男性,22,5,5,2,2,5,1,5,5,2,4,3,3,5,2,2,3,2,3,5,3,3,1,2,2,3,3,3,4,3,3,5,4,2,3,3,5,5,4,5,2,2,3,5,3,5,1,4,4,5,3,2,2,3,5,5,5,3,3,5,4,4,4,5,3,3,4,3,5,3,3,3,3,5,5,3,3,5,3,5,5,2,2,3,3,5,5,3,2,5,2,3,5,3,3,3,4
